"|","|__CompanyName1","|__CompanyName2","|__Tel","|__Address1","|__Email","|__BusinessHours","|__Charges","|__SportType","|__SportType1","|__CompanyNo","|__LatLng"
"1","天外奇肌有限公司","Banana Fitness","02 2592 1050","臺北市大同區重慶北路3段99號","bananafitnesstw@gmail.com","12:00:00-21:00:00","","09 運動場館或設施營建業","運動訓練","85074896","25.0668907,121.5117601"
"2","魅力四射演藝有限公司","魅力四射舞蹈瑜珈","02 2312 1775","臺北市萬華區漢口街2段7號1樓","wangong@meidance.com","10:00:00-22:00:00","","04 運動表演業","舞蹈","28002009","25.045422,121.508402"
"3","喬菲立有限公司","Curves石牌店","02 2820 0250","臺北市北投區裕民六路120號5樓","Curvesma0107@curves.com.tw","09:30:00-11:30:00 15:30:00-21:","","09 運動場館或設施營建業","健身房","25128270","25.114535,121.5154595"
"4","佑英有限公司","Curves西門漢中店","02 2361 2327","臺北市萬華區漢中街157號2樓","","11:30:00-13:00:00 13:00:00-15:","","09 運動場館或設施營建業","健身房","54155901","25.041502,121.5049843"
"5","佳仕旺國際有限公司","Curves信義永康店","02 3322 2610","臺北市大安區信義路2段222號2樓","yongkang@curves.com.tw","11:00:00-13:00:00 15:30:00-21:","","09 運動場館或設施營建業","健身房","29054026","25.033409,121.5291783"
"6","艾爾法國際事業有限公司","愛表現","02 2721 6262","臺北市中山區朱崙街60號B1","","12:00:00-21:00:00","","09 運動場館或設施營建業","健身房","42624865","25.0498558,121.5413939"
"7","三維動智有限公司","FMA","02 2518 3504","臺北市中山區民權東路2段142號5樓","foundation.movement.acadomy.@gmail.com","預約制","","09 運動場館或設施營建業","體適能","52441801","25.0623317,121.5314596"
"8","奕揚國際有限公司","Curves東湖店","02 2631 0798","臺北市內湖區東湖路33巷17號1樓","donghu@curves.con.tw","11:00:00-21:00:00","","09 運動場館或設施營建業","健身房","24565225","25.0697738,121.6111212"
"9","神氣小虎有限公司","神氣小虎有限公司","02 8866 3655","臺北市士林區士東路274號","perkypiger28767002@gmail.com","09:00:00-20:00:00","","09 運動場館或設施營建業","兒童體操","50867421","25.1133427,121.5347586"
"10","歐貝有限公司","Curves中山錦州店","02 2523 2488","臺北市中山區中山北路2段115巷45號","Jinzhou@curves.com.tw","11:45:00-13:00:00 13:00:00-15:","","09 運動場館或設施營建業","健身房","53119415","25.0609678,121.5224784"
"11","三衡一樹健康事業有限公司","Curves和平科技店","02 2755 1581","臺北市大安區和平東路2段257號3樓","jerry@curves.com.tw","10:30:00-13:30:00 13:30:00-21:","","09 運動場館或設施營建業","健身房","53524316","25.0250097,121.5416423"
"12","優競健身事業股份有限公司","UFC GYM","02 8773 3772","臺北市大安區安和路1段27號地下2樓","amber.wn.niou@ufc.gym.com.tw","07:00:00-24:00:00","","09 運動場館或設施營建業","健身房","52467800","25.0393202,121.5482843"
"13","筋肉體適能事業有限公司","JZ fitness","02 2771 8400","臺北市大安區忠孝東路4段155號7樓","","私人運動班 預約制","","09 運動場館或設施營建業","健身房","24959142","25.0417426,121.5478217"
"14","適合進步有限公司","","","臺北市大安區樂業街10號","","預約制","","09 運動場館或設施營建業","體適能","85014645","25.024065,121.5476231"
"15","蕙富瑞奇有限公司","體能休閒空間","02 2882 7460","臺北市士林區文林路205號3樓","","會員預約制","","09 運動場館或設施營建業","健身房","52486932","25.0901023,121.5248121"
"16","優勢開發管理顧問有限公司","YOUTH YOGA","02 8773 3833","臺北市內湖區瑞光路550號1樓","cs@youth-fitness.com","07:00:00-23:00:00","","09 運動場館或設施營建業","健身房","52463277","25.0797976,121.5647586"
"17","香港商五十佳健康事業股份有限公司","香港商五十佳健康事業股份有限公司","","臺北市中山區南京東路1段138號9樓","","預約制","","09 運動場館或設施營建業","瑜珈","24806054","25.0519207,121.5251899"
"18","超越體能顧問有限公司","超越體能","02 2715 2733","臺北市松山區南京東路4段17號地下一層","","09:00:00-22:00:00","","09 運動場館或設施營建業","健身房","24928211","25.0519269,121.5478873"
"19","躍動健康事業股份有限公司","運動家運動生活館","02 2651 5365","臺北市南港區興華路77號","athletesfitnesshome@gmail.com","08:00:00-23:00:00","","09 運動場館或設施營建業","健身房","85092655","25.0552523,121.6039133"
"20","拳能健身有限公司","拳能健身有限公司","0960 399 999","臺北市中山區樂群三路77號2樓","","預約制","","09 運動場館或設施營建業","體適能","82796836","25.0827929,121.5516309"
"21","喬大高爾夫學苑股份有限公司","喬大高爾夫學苑股份有限公司","02 2858 2677","臺北市北投區大度路3段165號","allenchang@khouse.com.tw","06:00:00-23:00:00","","09 運動場館或設施營建業","高爾夫球","97314301","25.1213242,121.4705162"
"22","山集有限公司","小大師體操俱樂部","02 2931 4520","臺北市文山區羅斯福路6段68號1樓","siaodashih@gmail.com","09:00:00-12:00:00 14:00:00-21:","","09 運動場館或設施營建業","體適能","50759886","24.9985968,121.5379508"
"23","普瑞特斯有限公司","正能量Fitness","02 8797 2666","臺北市內湖區內湖路1段322號2樓","positivepositve16@gmail.com","09:00:00-21:00:00","","09 運動場館或設施營建業","體適能","43876868","25.0816028,121.5676585"
